runset	variant	status	test_acc	model_source	log
patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_20260301_003524	obj_only_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_20260301_003524/obj_only_nepa2d.out
patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_rfpsbankfix_20260301_003806	obj_only_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_rfpsbankfix_20260301_003806/obj_only_nepa2d.out
patchcls_objonly_ddp4_ckpt_eval_20260227_143730	obj_only_v3	completed	0.7703	-	logs/sanity/patchcls/patchcls_objonly_ddp4_ckpt_eval_20260227_143730/obj_only_v3.out
patchcls_objonly_ddp4_ckpt_eval_nw0_20260227_143841	obj_only_v3	completed	0.7719	-	logs/sanity/patchcls/patchcls_objonly_ddp4_ckpt_eval_nw0_20260227_143841/obj_only_v3.out
patchcls_objonly_parity_pointmae_20260227_070409	obj_only_v3	completed	0.7900	-	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_20260227_070409/obj_only_v3.out
patchcls_objonly_parity_pointmae_ddp4_20260227_143511	obj_only_v3	completed	0.7750	-	logs/sanity/patchcls/patchcls_objonly_parity_pointmae_ddp4_20260227_143511/obj_only_v3.out
patchcls_objonly_parity_randomseed_20260227_063811	obj_only_v3	completed	0.7728	-	logs/sanity/patchcls/patchcls_objonly_parity_randomseed_20260227_063811/obj_only_v3.out
patchcls_backbone_ablation_vanilla_tail_20260228_044235	obj_only_vanilla	completed	0.7504	-	logs/sanity/patchcls/patchcls_backbone_ablation_vanilla_tail_20260228_044235/obj_only_vanilla.out
patchcls_pmstrict_align_ng128_initpm_20260228_052736	obj_only_vanilla	completed	0.7866	-	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/obj_only_vanilla.out
patchcls_pmstrict_align_ng64_initpm_20260228_063529	obj_only_vanilla	completed	0.7659	-	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/obj_only_vanilla.out
patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118	obj_only_vanilla	completed	0.7298	patchcls	logs/sanity/patchcls/patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118/obj_only_vanilla.out
patchcls_raypatch_s0_20260228_074613	pb_t50_rs	completed	0.7113	patchcls	logs/sanity/patchcls/patchcls_raypatch_s0_20260228_074613/pb_t50_rs.out
patchcls_raypatch_s0_strict_20260228_075456	pb_t50_rs	completed	0.7037	patchcls	logs/sanity/patchcls/patchcls_raypatch_s0_strict_20260228_075456/pb_t50_rs.out
patchcls_scan3_scratch_20260227_053526	pb_t50_rs	no_test_acc	-	-	logs/sanity/patchcls/patchcls_scan3_scratch_20260227_053526/pb_t50_rs.out
patchcls_scan3_scratch_h5_20260227_061351	pb_t50_rs	completed	0.6731	-	logs/sanity/patchcls/patchcls_scan3_scratch_h5_20260227_061351/pb_t50_rs.out
patchcls_scan3_scratch_pmalign_20260227_202814	pb_t50_rs	completed	0.7609	-	logs/sanity/patchcls/patchcls_scan3_scratch_pmalign_20260227_202814/pb_t50_rs.out
patchcls_scan3_scratch_retry1_20260227_053722	pb_t50_rs	no_test_acc	-	-	logs/sanity/patchcls/patchcls_scan3_scratch_retry1_20260227_053722/pb_t50_rs.out
patchcls_scan3_scratch_retry2_20260227_053922	pb_t50_rs	no_test_acc	-	-	logs/sanity/patchcls/patchcls_scan3_scratch_retry2_20260227_053922/pb_t50_rs.out
patchcls_scan3_scratch_v3nonorm_20260227_055706	pb_t50_rs	completed	0.6877	-	logs/sanity/patchcls/patchcls_scan3_scratch_v3nonorm_20260227_055706/pb_t50_rs.out
patchnepa_ptonly_ft_from100047_20260301_004316	pb_t50_rs	no_test_acc	-	patchcls	logs/sanity/patchcls/patchnepa_ptonly_ft_from100047_20260301_004316/pb_t50_rs.out
patchcls_ft_from_patchnepa99710_20260228_181336	pb_t50_rs_nepa2d	completed	0.7137	patchcls	logs/sanity/patchcls/patchcls_ft_from_patchnepa99710_20260228_181336/pb_t50_rs_nepa2d.out
patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732	pb_t50_rs_nepa2d	completed	0.7078	patchcls	logs/sanity/patchcls/patchcls_ft_from_patchnepa_pt16_rfpsbank_20260228_231732/pb_t50_rs_nepa2d.out
patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007	pb_t50_rs_nepa2d	completed	0.7047	patchcls	logs/sanity/patchcls/patchcls_ft_from_patchnepa_ptonly_onepass_20260228_222007/pb_t50_rs_nepa2d.out
patchcls_pmstrict_align_ng128_initpm_20260228_052736	pb_t50_rs_nepa2d	completed	0.7207	-	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/pb_t50_rs_nepa2d.out
patchcls_pmstrict_align_ng64_initpm_20260228_063529	pb_t50_rs_nepa2d	completed	0.7106	-	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/pb_t50_rs_nepa2d.out
patchcls_scratch_file_tta10_recheck_20260228_232553	pb_t50_rs_nepa2d	completed	0.7065	patchcls	logs/sanity/patchcls/patchcls_scratch_file_tta10_recheck_20260228_232553/pb_t50_rs_nepa2d.out
patchnepaFT_from_ptonly_20260301_013921	pb_t50_rs_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepaFT_from_ptonly_20260301_013921/pb_t50_rs_nepa2d.out
patchnepaFT_from_ptonly_fix_20260301_014058	pb_t50_rs_nepa2d	completed	0.7380	patchnepa(direct)	logs/sanity/patchcls/patchnepaFT_from_ptonly_fix_20260301_014058/pb_t50_rs_nepa2d.out
patchnepaFT_from_ray_20260301_013921	pb_t50_rs_nepa2d	completed	0.7582	patchnepa(direct)	logs/sanity/patchcls/patchnepaFT_from_ray_20260301_013921/pb_t50_rs_nepa2d.out
patchnepa_rayqa_ft_from100011_20260301_002046	pb_t50_rs_nepa2d	no_test_acc	-	patchcls	logs/sanity/patchcls/patchnepa_rayqa_ft_from100011_20260301_002046/pb_t50_rs_nepa2d.out
patchnepa_rayqa_ft_from100011_queryonly_20260301_002508	pb_t50_rs_nepa2d	no_test_acc	-	patchcls	logs/sanity/patchcls/patchnepa_rayqa_ft_from100011_queryonly_20260301_002508/pb_t50_rs_nepa2d.out
patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_dualmask_splitsep_rfpsbankfix_20260301_004055	pb_t50_rs_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_dualmask_splitsep_rfpsbankfix_20260301_004055/pb_t50_rs_nepa2d.out
patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_20260301_003524	pb_t50_rs_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_20260301_003524/pb_t50_rs_nepa2d.out
patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_rfpsbankfix_20260301_003806	pb_t50_rs_nepa2d	no_test_acc	-	-	logs/sanity/patchcls/patchnepa_rayqa_ft_from_patchnepa_rayqa_ddp16_encdec1_splitsep_rfpsbankfix_20260301_003806/pb_t50_rs_nepa2d.out
patchcls_pb_t50_rs_serial_20260228_052107	pb_t50_rs_serial	no_test_acc	-	-	logs/sanity/patchcls/patchcls_pb_t50_rs_serial_20260228_052107/pb_t50_rs_serial.out
patchcls_pb_t50_rs_serial_fix1_20260228_052424	pb_t50_rs_serial	completed	0.6541	-	logs/sanity/patchcls/patchcls_pb_t50_rs_serial_fix1_20260228_052424/pb_t50_rs_serial.out
patchcls_pb_t50_rs_serial_ztrans_20260228_053913	pb_t50_rs_serial_ztrans	completed	0.6489	-	logs/sanity/patchcls/patchcls_pb_t50_rs_serial_ztrans_20260228_053913/pb_t50_rs_serial_ztrans.out
patchcls_backbone_ablation_vanilla_tail_20260228_044235	pb_t50_rs_vanilla	completed	0.7443	-	logs/sanity/patchcls/patchcls_backbone_ablation_vanilla_tail_20260228_044235/pb_t50_rs_vanilla.out
patchcls_pmstrict_align_ng128_initpm_20260228_052736	pb_t50_rs_vanilla	completed	0.7158	-	logs/sanity/patchcls/patchcls_pmstrict_align_ng128_initpm_20260228_052736/pb_t50_rs_vanilla.out
patchcls_pmstrict_align_ng64_initpm_20260228_063529	pb_t50_rs_vanilla	completed	0.6957	-	logs/sanity/patchcls/patchcls_pmstrict_align_ng64_initpm_20260228_063529/pb_t50_rs_vanilla.out
patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118	pb_t50_rs_vanilla	completed	0.7280	patchcls	logs/sanity/patchcls/patchcls_scratch_file_tta10_vanilla_recheck_20260228_233118/pb_t50_rs_vanilla.out
